synthesis_candidate	definition	validity	acceptable_output	prohibited_inference
Metric availability concordance	Whether the same frozen definition can be computed independently in both cohorts	VALID	A two-column availability and QC table with identical metric definitions	That equal availability makes clinical contrasts exchangeable
Directional diversity and dominance behavior	Compare the sign of prespecified within-cohort group contrasts when each contrast has an unambiguous direction	VALID_WITH_QUALIFICATION	Side-by-side standardized effects and confidence intervals labelled with each cohort's actual contrast	Replication of a disease signature or a common causal direction
Within-cohort community effect magnitude	Compare diagnosis PERMANOVA R2 in the anchor with resistance-status PERMANOVA R2 in the external cohort	VALID_WITH_QUALIFICATION	Side-by-side R2, pseudo-F, uncertainty/permutation P, group count and feature-space annotation	A pooled R2, formal meta-analytic coefficient or claim that magnitudes estimate one effect
Dispersion behavior	Compare whether each cohort's PERMANOVA is or is not materially dispersion-qualified	VALID_WITH_QUALIFICATION	Paired PERMANOVA/PERMDISP dashboard for each cohort	That similar dispersion proves similar biology
Prevalence-set overlap	Intersect taxids meeting prespecified prevalence thresholds calculated separately within each cohort	VALID	Jaccard/intersection/union summaries at 5%, 10% and 20%; primary 10% counts include 166 species and 45 genera	That shared detection means equal abundance, pathogenicity or clinical association
Common-taxon prevalence effects	For taxids prevalent in both cohorts, show each cohort's contrast-specific prevalence effect	EXPLORATORY_ONLY	Contrast-labelled effect estimates with multiplicity control; no combined coefficient	Replicated taxon association, because four-diagnosis and resistance effects differ
Rank-based or sign-based common-taxon concordance	Correlate or count signs of contrast-specific taxon effects across shared taxa	EXPLORATORY_ONLY	Sensitivity-only rank/sign summary with a null generated independently of outcome selection	Biological replication or validation of a disease signature
Technical classifier-yield comparison	Display classified-fraction distributions and medians by cohort	VALID_WITH_QUALIFICATION	Descriptive distributions with host/read-processing annotations	An inferential cohort effect or absolute bacterial burden
Naively pooled 530-sample matrix	Fit one sample-level diagnosis/community model after concatenating cohorts	INVALID	None	A common diagnosis effect, multicenter model or batch-adjusted biological estimate
Formal meta-analysis of current clinical coefficients	Combine four-level diagnosis and binary resistance coefficients	INVALID	None	Any summary effect or heterogeneity statistic presented as one clinical estimand
Cross-cohort replication claim	Call PRJCA046985 an independent replication of the PRJNA1056765 diagnosis result	INVALID	None	Replication, validation or independent confirmation of the anchor disease signature
