component	anchor_state	external_state	classification	evidence	required_action
Input architecture	Native SRA-derived single FASTQ	One deposited FASTQ per subject; pairing undeclared	COMPARABLE_AFTER_REPROCESSING	reports_public/production_planning/prjna1056765/candidate_dna_wgs_runs.tsv; PRJCA046985_exact_manifest.tsv	Use the already-frozen one-FASTQ native Kraken2 estimand; do not infer paired architecture.
Host state	No local host removal before primary Kraken2	Upstream host-depleted deposited files; no local second removal	COHORT_SPECIFIC_ONLY	anchor_compatibility_record.json; host_depletion_provenance.tsv	Report the non-reversible difference; do not pool sample matrices or claim identical preprocessing.
Trimming	None	None	DIRECTLY_COMPARABLE	Primary runner; pilot provenance; production QC	No action.
Kraken2 version	2.17.1 provenance-level	2.17.1 execution-verified	DIRECTLY_COMPARABLE	anchor_compatibility_record.json; production_qc.json	Retain provenance qualification for anchor.
Kraken2 database	Same path and manifest identity	Same path and manifest identity	DIRECTLY_COMPARABLE	anchor_compatibility_record.json; production_qc.json	Freeze identity 6feb9b3e...d496d3 in downstream specification.
Kraken2 parameters	threads 4; implicit confidence 0.0/min-hit-groups 2	threads 4; explicit confidence 0.0/min-hit-groups 2	DIRECTLY_COMPARABLE	anchor_reconciliation_v2.json; frozen recovery definition	Treat explicit pins as semantic reproduction of historical defaults.
Read length	Nominally 398x50 and 2x49 average; no observed histograms	Nominal 81x50 and 49x75; observed mixed 15–50/75 in 7 of 8 audited files	COHORT_SPECIFIC_ONLY	candidate_dna_wgs_runs.tsv; read_length_audit_summary.json	Carry read architecture and classified fraction as technical covariates/limitations; no summary-length Bracken.
Species estimator	Bracken fraction_total_reads	No species matrix; raw Kraken2 reports only	COMPARABLE_AFTER_REPROCESSING	bracken_species_fraction_matrix.tsv; production_qc.json	Derive a separate Kraken2 direct-rank assignment layer from existing reports for both cohorts.
Genus definition	First-token aggregation of species matrix	No genus matrix	COMPARABLE_AFTER_REPROCESSING	scripts/analyze_prjna1056765_metagenome_400.py	For common layer, parse genuine Kraken2 G-rank direct counts rather than copy the anchor's first-token sensitivity definition.
Background filtering	Six labels removed before anchor closure	None yet	COMPARABLE_AFTER_REPROCESSING	metagenome_400_formal/audit/background_feature_exclusions.tsv	Freeze one common rank/report grammar; keep exclusions and denominators explicit.
Relative abundance	Bracken fractions then microbial closure	Not calculated	COMPARABLE_AFTER_REPROCESSING	analyze_prjna1056765_metagenome_400.py; production_qc.json	Common layer: direct-rank counts divided by all input reads; do not call it Bracken abundance.
Prevalence	10% primary; 5%/20% sensitivity	Not applied	COMPARABLE_AFTER_REPROCESSING	methods/parameters.json	Apply thresholds within each cohort, not on a pooled matrix.
Compositional transformation	Half-minimum-positive pseudocount and CLR	Not applied	COHORT_SPECIFIC_ONLY	methods/parameters.json	Freeze within-cohort zero/CLR policy only for a common estimand; never share a data-dependent pseudocount across cohorts by accident.
Current species matrices	400-run Bracken-derived matrix	No corresponding matrix	COHORT_SPECIFIC_ONLY	metagenome production and PRJCA QC	Do not merge.
Cross-study inference	Four-level anchor diagnosis	Drug-sensitive versus drug-resistant TB	COHORT_SPECIFIC_ONLY	anchor analysis design; PRJCA manifest	These are different clinical contrasts; no single disease-effect meta-analysis is defined by the present pair.
