field	status	value	evidence	notes
COHORT_COMPLETION	CONFIRMED	130 eligible: 8 pilot plus 122 production; production QC VERIFIED	origin/etty-handoff:handoffs/20260822T120000Z-prjca046985-native-kraken2-pilot/pilot_summary.json; origin/etty-handoff:handoffs/20260823T043904Z-prjca046985-122-native-kraken2-production-qc/production_qc.json	Production QC verifies 122 reports and outputs; pilot completed 8.
RAW_OR_PREPROCESSED_INPUT	CONFIRMED	Deposited single FASTQ linked to supplementary unhost_reads	reports_public/prjna1056765_external_cohort_pilot_package/host_depletion_provenance.tsv; reports_public/prjna1056765_external_cohort_pilot_package/manifests/PRJCA046985_exact_manifest.tsv	Deposited files are not equivalent to anchor raw SRA reads.
UPSTREAM_HOST_DEPLETION	CONFIRMED	Yes, before public deposited microbial-read output	reports_public/prjna1056765_external_cohort_pilot_package/host_depletion_provenance.tsv	Exact upstream tool and reference were not recovered.
LOCAL_HOST_REMOVAL_PERFORMED	NOT_PERFORMED	false	origin/etty-handoff:handoffs/20260822T120000Z-prjca046985-native-kraken2-pilot/provenance.json; origin/etty-handoff:handoffs/20260823T043904Z-prjca046985-122-native-kraken2-production-qc/production_qc.json	No second host-removal stage was applied.
HOST_REMOVAL_TOOL	UNKNOWN	Upstream tool not recovered	reports_public/prjna1056765_external_cohort_pilot_package/host_depletion_provenance.tsv	Cannot reproduce or undo upstream depletion.
HOST_REFERENCE	UNKNOWN	Not reported	reports_public/prjna1056765_external_cohort_pilot_package/host_depletion_provenance.tsv	No reference identity recovered.
TRIMMING_PERFORMED	NOT_PERFORMED	false	origin/etty-handoff:handoffs/20260822T120000Z-prjca046985-native-kraken2-pilot/provenance.json; origin/etty-handoff:handoffs/20260823T043904Z-prjca046985-122-native-kraken2-production-qc/production_qc.json	Native deposited reads supplied directly.
KRAKEN2_PERFORMED	CONFIRMED	8/8 pilot and 122/122 production outputs verified	origin/etty-handoff:handoffs/20260822T120000Z-prjca046985-native-kraken2-pilot/pilot_summary.json; origin/etty-handoff:handoffs/20260823T043904Z-prjca046985-122-native-kraken2-production-qc/production_qc.json	Classified fractions are technical QC only.
KRAKEN2_VERSION	CONFIRMED	2.17.1	origin/etty-handoff:handoffs/20260822T120000Z-prjca046985-native-kraken2-pilot/provenance.json; origin/etty-handoff:handoffs/20260823T043904Z-prjca046985-122-native-kraken2-production-qc/production_qc.json	Production used strict executable identity preflight.
KRAKEN2_DATABASE_PATH_OR_IDENTITY	CONFIRMED	/mnt/disk1/db/kraken2/k2_pluspfp_16gb_20221209; identity 6feb9b3e8b52ff05d61272436bbbacc4f3408088dc6e776cd44d588169d496d3	15147239a717923f513d81d1369ccd6efa7e782d:automation/production/20260822T175547Z-prjca046985-122-native-kraken2-recovery.json; production_qc.json	Same frozen identity as the anchor provenance record.
KRAKEN2_CONFIDENCE	CONFIRMED	Pilot implicit 0.0 default; production explicit 0.0	pilot_summary.json; 15147239a717923f513d81d1369ccd6efa7e782d:automation/production/20260822T175547Z-prjca046985-122-native-kraken2-recovery.json	Pilot and production behavior match, but explicitness differs.
KRAKEN2_MINIMUM_HIT_GROUPS	CONFIRMED	Pilot implicit 2 default; production explicit 2	pilot_summary.json; 15147239a717923f513d81d1369ccd6efa7e782d:automation/production/20260822T175547Z-prjca046985-122-native-kraken2-recovery.json	Pilot and production behavior match, but explicitness differs.
KRAKEN2_OTHER_PARAMETERS	CONFIRMED	--threads 4 --report --output one native FASTQ; no --paired	pilot_summary.json; frozen recovery definition	No classification-altering flags beyond explicit default pins.
BRACKEN_PERFORMED	NOT_PERFORMED	false	pilot provenance; production_qc.json	No PRJCA046985 production Bracken matrix exists.
INPUT_READ_LENGTH	PARTIAL	Nominal 81x50 nt and 49x75 nt; 8-run audit found 1 fixed and 7 variable files spanning 15–50 or 15–75 nt	reports_public/prjna1056765_external_cohort_pilot_package/manifests/PRJCA046985_exact_manifest.tsv; reports_public/prjna1056765_external_cohort_pilot_package/hospital_read_length_audit/read_length_audit_summary.json	Observed audit is representative/stratified, not a raw scan of all 130 files.
PAIRED_OR_SINGLE_END	PARTIAL	One public FASTQ per subject; pairing not declared	reports_public/prjna1056765_external_cohort_pilot_package/manifests/PRJCA046985_exact_manifest.tsv	Do not reinterpret as paired-end or prove native single-end solely from one file.
SPECIES_MATRIX_SOURCE	NOT_PERFORMED	No current species matrix	production_qc.json	Existing artifacts are Kraken2 reports/output.
SPECIES_MATRIX_UNIT	NOT_PERFORMED	NA	production_qc.json	A common direct-assignment fraction layer can be derived read-only, but does not yet exist as a checked-in matrix.
SPECIES_MATRIX_TRANSFORMATION	NOT_PERFORMED	NA	production_qc.json	No prevalence filter, closure, CLR, or zero policy has been applied to PRJCA046985 production outputs.
