field	status	value	evidence	notes
RAW_OR_PREPROCESSED_INPUT	CONFIRMED	Native single FASTQ generated from each SRA run	reports_public/prjna1056765_external_cohort_pilot_package/taxonomy_method_adjudication/anchor_compatibility_record.json; pipelines/metagenome_sra_kraken2_runner.py	No trimming or host-removal command occurs between fasterq-dump/gzip and Kraken2 in the primary runner.
HOST_REMOVAL_PERFORMED	NOT_PERFORMED	false	reports_public/metagenome_final_report.md; reports_public/prjna1056765_external_cohort_pilot_package/taxonomy_method_adjudication/anchor_compatibility_record.json	Residual Homo sapiens assignments in all 400 summaries support the command provenance. A later manuscript sentence claiming local host removal conflicts with the primary runner and exact command reconciliation and is not used.
HOST_REMOVAL_TOOL	NOT_PERFORMED	NA	pipelines/metagenome_sra_kraken2_runner.py	The separate 30-run host-removal screen is not the 400-run primary pipeline.
HOST_REFERENCE	NOT_PERFORMED	NA	reports_public/metagenome_final_report.md	The report states no host index was configured.
HOST_REMOVAL_PARAMETERS	NOT_PERFORMED	NA	pipelines/metagenome_sra_kraken2_runner.py	No host-removal argv in the primary path.
TRIMMING_PERFORMED	NOT_PERFORMED	false	pipelines/metagenome_sra_kraken2_runner.py	fastp belongs to a later 30-run deep-review route, not the primary 400.
TRIMMING_TOOL	NOT_PERFORMED	NA	pipelines/metagenome_sra_kraken2_runner.py	No trimming tool in the primary path.
TRIMMING_PARAMETERS	NOT_PERFORMED	NA	pipelines/metagenome_sra_kraken2_runner.py	No trimming parameters in the primary path.
KRAKEN2_PERFORMED	CONFIRMED	400/400 successful commands and 400 unique native reports	reports_public/prjna1056765_external_cohort_pilot_package/taxonomy_method_adjudication/anchor_reconciliation_v2.json	Twenty command ledgers reconcile one command and native report per frozen run.
KRAKEN2_VERSION	PARTIAL	2.17.1	reports_public/prjna1056765_external_cohort_pilot_package/taxonomy_method_adjudication/anchor_compatibility_record.json	Recovered conda provenance supports 2.17.1; no execution-time version line was recovered.
KRAKEN2_DATABASE_PATH_OR_IDENTITY	CONFIRMED	/mnt/disk1/db/kraken2/k2_pluspfp_16gb_20221209; manifest identity 6feb9b3e8b52ff05d61272436bbbacc4f3408088dc6e776cd44d588169d496d3	reports_public/prjna1056765_external_cohort_pilot_package/taxonomy_method_adjudication/anchor_compatibility_record.json	Identity is provenance-level: opts/taxo and small database files are hashed; the 16 GB hash.k2d was not newly hashed.
KRAKEN2_CONFIDENCE	CONFIRMED	0.0 historical default; flag omitted	reports_public/prjna1056765_external_cohort_pilot_package/taxonomy_method_adjudication/anchor_reconciliation_v2.json	All 400 argv records omit --confidence.
KRAKEN2_MINIMUM_HIT_GROUPS	CONFIRMED	2 historical default; flag omitted	reports_public/prjna1056765_external_cohort_pilot_package/taxonomy_method_adjudication/anchor_reconciliation_v2.json	All 400 argv records omit --minimum-hit-groups.
KRAKEN2_OTHER_PARAMETERS	CONFIRMED	--threads 4 --report <run>.kreport --output <run>.kraken2.out <single FASTQ>; no --paired; no --report-zero-counts	reports_public/prjna1056765_external_cohort_pilot_package/taxonomy_method_adjudication/anchor_compatibility_record.json	One method signature across 400 successful commands.
BRACKEN_PERFORMED	CONFIRMED	400/400 successful commands and 400 derived species reports	reports_public/prjna1056765_external_cohort_pilot_package/taxonomy_method_adjudication/anchor_reconciliation_v2.json	Primary checked-in matrix is Bracken-derived.
BRACKEN_VERSION	PARTIAL	3.1 in recovered anchor conda provenance; current live inventory reports 3.0.1	reports_public/prjna1056765_external_cohort_pilot_package/taxonomy_method_adjudication/anchor_compatibility_audit.md; reports_public/prjna1056765_external_cohort_pilot_package/hospital_runner_inventory/hospital_readonly_inventory.json	No execution-time version line; the version labels conflict and exact historical binary identity is unresolved.
BRACKEN_DATABASE	CONFIRMED	/mnt/disk1/db/kraken2/k2_pluspfp_16gb_20221209	reports_public/prjna1056765_external_cohort_pilot_package/taxonomy_method_adjudication/anchor_reconciliation_v2.json	Same directory as Kraken2; actual command records completed 400/400.
