storyline	priority	analysis_item	purpose	uses_existing_400_DNA	uses_existing_public_RNA_or_processed_data	requires_external_dataset	heavy_compute	prerequisite	stop_condition	estimated_time
Compositional robustness / heterogeneity	minimum	Reproduce original paper's exact sample split, feature domain, database assumptions, and headline DNA results	Separate cohort-size, preprocessing, database, and statistical causes of discordance	yes	no	no	no	Obtain exact supplementary/group files and repository versions	Stop if sample/feature mapping cannot be made auditable	2-4 days
Compositional robustness / heterogeneity	minimum	Prospectively frozen sensitivity grid for prevalence, pseudocount, distance, QC flag, and permutation strata	Show which conclusions are stable without threshold shopping	yes	no	no	moderate	Register grid before running	Stop expansion when conclusions stabilize or instability itself is established	3-5 days
Compositional robustness / heterogeneity	minimum	Effect-size and uncertainty presentation for diagnosis, alpha diversity, and taxa	Replace significance-led claims with magnitude and uncertainty	yes	no	no	no	Choose estimands before analysis	No biomarker/model claims	2-3 days
Compositional robustness / heterogeneity	optional	Variance partitioning using only genuinely independent available covariates	Test whether date/cohort/QC explains more than diagnosis	yes	no	no	moderate	Metadata completeness and non-collinearity audit	Do not fit uninterpretable high-dimensional models	2-4 days
Oral–lung ecological continuum	minimum	Create external oral-reference set before inspecting outcome associations	Avoid constructing a score from the five significant taxa	yes	possibly	no	no	Written selection rule based on paired oral/BAL primary literature or independent oral reference data	Stop if taxonomy cannot be harmonized prospectively	2-4 days literature/curation
Oral–lung ecological continuum	minimum	Validate reference set against released negative controls and known oral-background contrasts	Separate oral-like signal from reagent/background signal	yes	no	no	moderate	Access processed controls and compatible taxonomic labels	Stop if oral set tracks controls/classified fraction more strongly than biology	3-5 days
Oral–lung ecological continuum	minimum	Test continuous oral signal against diagnosis with compositional and QC safeguards	Assess whether continuous ecology explains variation beyond diagnosis	yes	no	no	moderate	External score definition frozen	Stop if signal is not robust to QC/classified fraction and cohort/date	3-5 days
Oral–lung ecological continuum	optional	Use independent paired upper/lower-airway datasets for construct validation	Verify the score measures mouth–lung similarity rather than arbitrary anaerobe abundance	no	no	yes	moderate	Compatible BAL and taxonomic resolution	Do not pool incompatible specimen types	1-3 weeks
Oral–lung ecological continuum	optional	Associate oral signal with independent host RNA or inflammatory readout	Move beyond taxonomy toward biological relevance	yes	yes	no	moderate	Prespecified host endpoint not copied from Han et al.	Stop if patient-level DNA–RNA mapping or host endpoints are unavailable	1-2 weeks
Functional / active microbiome	minimum	Audit patient-level pairing, RNA library nature, negative controls, processed matrices, and overlap with Han et al.	Determine whether a distinct question is technically possible	yes	yes	no	no	No HUMAnN expansion	Stop if microbial RNA cannot be distinguished from assay/detectability effects	2-4 days
Functional / active microbiome	minimum	Prospectively define one DNA–RNA activity question and null model	Prevent pathway fishing and distinguish detection from activity	yes	yes	no	no	Question must not duplicate Han's RNA taxa or diagnostic modeling	NO-GO if no independent endpoint exists	2-3 days
Functional / active microbiome	conditional	Cohort-wide paired DNA–RNA taxon/gene analysis with negative-control and depth safeguards	Test relative transcription beyond DNA abundance	yes	yes	no	yes	Pass metadata and novelty audit	Stop for pervasive RNA dropout/dispersion or irreproducible mapping	2-4 weeks
Functional / active microbiome	optional	External functional validation using PRJNA603592/PRJNA573853/PRJNA603675	Test whether an activity signature behaves similarly in paired airway WGS/RNA data	no	no	yes	yes	Biological and taxonomic compatibility	Do not call small healthy-smoker data clinical validation	2-4 weeks
Diagnostic modeling	no-go	No new model in PRJNA1056765	Original paper already developed and internally tested multimodal models	yes	yes	yes	yes	Independent cohort and distinct target would be mandatory	Do not proceed in current phase	Not estimated
