section	citation	journal_year	cohort_size	specimen	sequencing_method	clinical_population	central_scientific_question	main_analysis	main_finding	conceptual_contribution	relationship_and_legitimate_framework	must_not_claim	source
A	Charlson ES et al. Topographical continuity of bacterial populations in the healthy human respiratory tract.	Am J Respir Crit Care Med 2011	6	Oral/nasopharyngeal samples; serial BAL; protected brush; procedural controls	16S qPCR and 454 sequencing	Healthy adults	Are healthy lower-airway communities distinct from upper-airway communities?	Biomass and cross-site community comparisons	Lung sequences were 2–4 logs lower in biomass and largely resembled upper-airway flora.	Established low biomass and mouth–lung continuity as first-order interpretation problems.	Supports an immigration/low-signal framework, not disease-specific taxa; compare BAL composition with independently sampled oral reference communities and procedural controls.	Our BAL taxa prove resident colonization or aspiration.	https://doi.org/10.1164/rccm.201104-0655OC
A	Morris A et al. Comparison of the respiratory microbiome in healthy nonsmokers and smokers.	Am J Respir Crit Care Med 2013	64	Oral wash and BAL	16S rRNA sequencing	Healthy smokers and nonsmokers	How does the healthy lung relate to the mouth, and does smoking alter it?	Neutral-model and community comparisons	Most lung taxa were also oral; some taxa were overrepresented relative to neutral expectations; lung communities did not differ clearly by smoking.	Showed that oral immigration is important but not the sole ecological process.	Provides a source–sink framework and warns against labeling every oral taxon as contamination; use source–sink/neutral logic if paired reference data become available.	All BAL taxa derive passively from the mouth, or smoking effects explain this cohort.	https://pubmed.ncbi.nlm.nih.gov/23491408/
B	Segal LN et al. Enrichment of lung microbiome with supraglottic taxa is associated with increased pulmonary inflammation.	Microbiome 2013	29	BAL, supraglottic samples, saline background	16S qPCR and 454 sequencing	Asymptomatic never-, former-, and current smokers	Is supraglottic-taxa enrichment in BAL associated with inflammation?	Unsupervised pneumotypes plus inflammatory markers	Prevotella/Veillonella-enriched BAL was associated with higher BAL inflammatory cells and exhaled nitric oxide.	Introduced SPT versus background-predominant ecological states with explicit controls.	A valid oral signal must be externally defined from upper-airway taxa and separated from background signal.	Our five significant taxa constitute an SPT score, or taxonomic association establishes inflammation.	https://doi.org/10.1186/2049-2618-1-19
B	Bassis CM et al. Analysis of the upper respiratory tract microbiotas as the source of the lung and gastric microbiotas in healthy individuals.	mBio 2015	28	Oral wash, nasal swab, BAL, gastric aspirate	16S rRNA sequencing	Healthy adults	Which upper-airway sites seed the lung and stomach?	Within-person cross-site/source comparisons	The mouth was a major source for lung communities, with evidence of selective elimination.	Refined the lung as a dynamic source–sink ecosystem rather than a closed community.	Motivates prospective oral reference sets and within-person similarity measures.	Oral detection in unpaired BAL identifies microaspiration frequency.	https://doi.org/10.1128/mBio.00037-15
B	Segal LN et al. Enrichment of the lung microbiome with oral taxa is associated with lung inflammation of a Th17 phenotype.	Nature Microbiology 2016	49	Upper airway and acellular BAL; immune and metabolite measurements	16S sequencing; inferred metagenome; metabolomics	Three cohorts without known pulmonary disease	Does oral-taxa enrichment correspond to a functional host phenotype?	SPT/BPT classification, cytokines, immune cells, metabolites	SPT enrichment tracked Th17/neutrophilic inflammation and a distinct metabolic profile.	Linked an independently motivated oral immigration state to host biology.	Use as biological precedent only if an external oral definition and independent host/functional evidence are used.	Our taxonomy alone demonstrates Th17 inflammation, metabolic activity, or causal microaspiration.	https://doi.org/10.1038/nmicrobiol.2016.31
B	Dickson RP et al. Bacterial topography of the healthy human lower respiratory tract.	mBio 2017	8	Seven protected brushes and bilateral BAL per person plus exhaustive controls	16S V4 Illumina sequencing	Healthy volunteers	Does bronchoscopy reflect authentic lower-airway ecology and what is the immigration route?	Topographic biomass, richness, and mouth–lung similarity analyses	Mouth–lung immigration indices exceeded control signal and peaked near the carina, consistent with microaspiration.	Provided protected-sampling evidence that mouth–lung resemblance is not simply scope contamination.	Frames aspiration as an ecological inference requiring topography, biomass, and controls.	Our single BAL per person can distinguish aspiration from procedural carryover.	https://pubmed.ncbi.nlm.nih.gov/28196961/
C	Drengenes C et al. Laboratory contamination in airway microbiome studies.	BMC Microbiology 2019	23	Oral wash, two protected BAL fractions, protected brush, negative controls	16S qPCR and amplicon sequencing	MicroCOPD participants	How much laboratory contamination affects protected lower-airway samples?	Biomass gradients, dilution standards, negative controls, decontam	An estimated 10–50% of low-airway profiles could be laboratory-derived; extraction kits were a major source.	Quantified the scale of contamination and favored model-based contaminant handling.	Justifies explicit classified-fraction/QC sensitivity and limits biological claims without matched negatives.	Low classified fraction is harmless, or computational filtering proves all retained taxa are authentic.	https://doi.org/10.1186/s12866-019-1560-1
C	Einarsson GG et al. Microbiomic analysis on low abundant respiratory biomass samples; improved recovery of microbial DNA from BALF.	Frontiers in Microbiology 2020	Analytic sample count varies by extraction experiment	BALF and mock/technical material	16S and microbiome laboratory benchmarking	Pediatric chronic lung disease samples and technical tests	How do extraction choices affect low-biomass BAL recovery?	Extraction-yield and community-composition comparisons	Laboratory workflow materially changed recovery and inferred community composition.	Shows that processing is part of the biological measurement in BAL.	Use to justify technical sensitivity and cautious between-study comparison.	Our Kraken/Bracken matrix is directly comparable to 16S BAL studies without workflow harmonization.	https://doi.org/10.3389/fmicb.2020.572504
C	Zhong J et al. Benefits and challenges of host depletion methods in profiling the upper and lower respiratory microbiome.	npj Biofilms and Microbiomes 2025	Benchmark study; sample-level n reported in article	BALF, oropharyngeal swab, mock samples	Shotgun metagenomics	Human respiratory samples	How do host-depletion methods alter respiratory metagenomes?	Seven-method benchmark	Depletion increased microbial yield but reduced biomass, introduced contaminants, and altered relative abundance.	Demonstrates method-induced abundance distortion in respiratory shotgun data.	Supports restraint when interpreting relative-abundance differences in highly host-dominated material.	Published clean-read depth guarantees unbiased microbial composition.	https://doi.org/10.1038/s41522-025-00762-2
D	Han D et al. Metagenomic fingerprints in bronchoalveolar lavage differentiate pulmonary diseases.	npj Digital Medicine 2025	402 total; discovery analyses reported for 284 training patients	BALF DNA and RNA	Clinical mNGS; Kraken2/Bracken; host transcriptomics	123 lung cancer, 114 bacterial infection, 79 fungal infection, 86 TB	Can microbial and host mNGS features distinguish cancer from infections?	Alpha/beta diversity, LEfSe, host features, 58/ensemble ML models	Reported disease compositional differences; P. micra and P. gingivalis enriched in cancer, F. nucleatum in bacterial infection; integrated test AUC 0.847.	Defines the prior biological and diagnostic claims for PRJNA1056765.	Our work may critique robustness, dispersion, compositionality, QC, and generalizability.	Disease fingerprints, listed oral taxa, or diagnostic modeling are new discoveries in this dataset.	https://doi.org/10.1038/s41746-025-01977-5
