field	status	value	evidence	interpretation
KRAKEN2_DATABASE_IDENTITY	CONFIRMED	6feb9b3e8b52ff05d61272436bbbacc4f3408088dc6e776cd44d588169d496d3	reports_public/prjna1056765_external_cohort_pilot_package/hospital_runner_inventory/hospital_readonly_inventory.json; anchor_compatibility_record.json	The same database directory/manifest identity underlies both cohorts.
DATABASE_KMER_LENGTH	UNKNOWN	Not decoded from the committed database inventory	hospital_readonly_inventory.json	Kraken2's documented default nucleotide k-mer is not substituted for a verified database-build value.
BRACKEN_VERSION_AT_ANCHOR	PARTIAL	Recovered provenance says 3.1; current live inventory says 3.0.1	anchor_compatibility_audit.md; hospital_readonly_inventory.json	Execution-time binary/version is unresolved.
AVAILABLE_REDISTRIBUTIONS	CONFIRMED	50,75,100,150,200,250,300 nt	reports_public/prjna1056765_external_cohort_pilot_package/hospital_runner_inventory/bracken_redistributions.tsv	All files are tied to the same recorded database identity.
ANCHOR_BRACKEN_READ_LENGTH	PARTIAL	100 nt default redistribution	pipelines/metagenome_sra_kraken2_runner.py; reports_public/metagenome_deep_review_run/status.md	Runner omitted -r; preserved status names database100mers. This does not match the anchor's nominal ~50-nt metadata.
ANCHOR_BRACKEN_LEVEL	PARTIAL	Species default	pipelines/metagenome_sra_kraken2_runner.py; reports_public/metagenome_production/bracken_species_fraction_matrix.tsv	Species output is proved; explicit primary -l argv was not persisted.
ANCHOR_BRACKEN_THRESHOLD	PARTIAL	10 default	pipelines/metagenome_sra_kraken2_runner.py; reports_public/metagenome_deep_review_run/status.md	Threshold is supported by default/status evidence, not an all-400 signature record.
PRJCA046985_READ_LENGTH_SUPPORT	CONFIRMED	50 and 75 redistribution files exist	bracken_redistributions.tsv	File availability alone does not validate mixed-length samples.
PRJCA046985_MIXED_LENGTH_VALIDITY	CONFIRMED	Unsupported for one-summary-length Bracken	variable_length_bracken_evidence_review.md; method_selection.md	Seven of eight audited files contained multiple lengths; length-stratified aggregation is not validated.
CURRENT_COMPATIBILITY	CONFIRMED	UNRESOLVED	variable_length_bracken_evidence_review.md; anchor_compatibility_record.json	Not IDENTICAL_READY: estimator version, historical -r semantics, anchor nominal/read mismatch, and mixed external reads prevent a defensible common Bracken matrix.
DATABASE_BUILD_REQUIRED	NOT_PERFORMED	No build recommended	hospital_runner_inventory.json	Matching 50/75 derivatives already exist; the blocker is estimator validity, not missing files.
