metric	definition	denominator	interpretation	main_limitation	anchor_role	external_role	cross_cohort_role
Classified fraction	Kraken2 root-classified reads divided by total input reads in a valid native report	All input reads for that sample	Technical fraction of input reads assigned somewhere in the frozen database/classifier grammar	Depends on host content, upstream processing, read architecture and database coverage; not absolute bacterial burden	SECONDARY technical endpoint	SECONDARY technical endpoint	Descriptive comparability only; cohort-level inferential comparison is invalid because cohort and preprocessing are confounded
Species richness	Number of species taxids with positive direct-assigned reads in a valid report	No abundance denominator; detection count per sample	Observed breadth of the direct species assignment subcomposition	Strongly depth, classifier-yield and threshold dependent	SECONDARY	SECONDARY	Directional concordance is valid with qualification; raw levels should not be pooled
Shannon diversity	Negative sum of p times log(p) over positive species direct counts	p is each species direct count divided by the sum of species direct counts in that sample	Evenness-weighted diversity within the classified species subcomposition	Ignores unclassified mass and is not absolute microbial burden; zero/detection sensitivity	SECONDARY	SECONDARY	Contrast-specific standardized direction may be compared with qualification, not meta-analyzed
Gini-Simpson	One minus the sum of squared species direct-count proportions	Sum of species direct counts in that sample	Probability-oriented diversity emphasizing common taxa	Subcomposition and classifier dependent; insensitive to absolute microbial amount	SECONDARY	SECONDARY	Contrast-specific direction and uncertainty may be shown side by side
Dominance	Maximum species direct count divided by summed species direct counts	Sum of species direct counts in that sample	Share of the most directly assigned species within the species subcomposition	Can be driven by one classification and says nothing about absolute burden	SECONDARY	SECONDARY	Directional ecological behavior may be compared with qualification
Prevalence	Proportion of valid cohort reports with a positive direct count for a taxid	All valid samples in that cohort	Detection frequency under the common classifier grammar	Depends on read depth, classifier yield and cohort-specific feature observability	EXPLORATORY taxonomic endpoint	EXPLORATORY taxonomic endpoint	VALID for independently calculated overlap summaries; never calculate on pooled 530 samples
Bray-Curtis community structure	Pairwise Bray-Curtis distance on direct species counts divided by all input reads, using taxa present in at least 10% within that cohort	Pairwise sum of the two all-read fraction vectors	Existing sensitivity layer combining changes in observed composition and total assigned-species fraction	Not a log-ratio geometry; sample-wise total assigned fraction can affect distance; dispersion sensitivity	SENSITIVITY	SENSITIVITY	Effect-size/dispersion behavior may be compared only with qualification
PERMANOVA	Permutation test of group-associated centroid/location structure in a prespecified distance matrix	Total distance-matrix variation; report pseudo-F and R2	Magnitude and evidence for a within-cohort clinical association in community space	Can reflect dispersion; design and permutation restrictions matter; R2 depends on group structure	PRIMARY with Aitchison; existing Bray-Curtis sensitivity	PRIMARY with Aitchison; existing Bray-Curtis sensitivity	Side-by-side R2 is qualified ecological concordance, not a shared coefficient
PERMDISP	Permutation test of group differences in distance to group centroid using the same samples and distance as PERMANOVA	Distances to within-group centroid	Determines whether a PERMANOVA result is dispersion-qualified	Does not repair confounding or identify biological location effects by itself	MANDATORY qualification	MANDATORY qualification	Dispersion behavior may be compared descriptively across cohorts
Common species at 10% prevalence	Intersection of species taxids detected in at least 10% of valid samples in each cohort	Separate cohort sample counts: 400 and 130; intersection n=166 taxids	Shared observable species inventory under the same classifier grammar	Threshold and detection dependent; shared presence is not equal abundance or effect	DESCRIPTIVE	DESCRIPTIVE	VALID taxonomic-overlap result with technical qualification
Common genera at 10% prevalence	Intersection of genus taxids detected in at least 10% of valid samples in each cohort	Separate cohort sample counts: 400 and 130; intersection n=45 taxids	Shared observable genus inventory under the same classifier grammar	Lower rank resolution may collapse distinct organisms; prevalence remains depth dependent	DESCRIPTIVE	DESCRIPTIVE	VALID taxonomic-overlap result with technical qualification
Taxonomic overlap	Intersection and union summaries of observed taxids at prespecified prevalence thresholds	Cohort-specific observed taxon sets, never pooled samples	Extent of common classifier observability across cohorts	Pipeline/read differences and ecological setting both influence overlap; absence is not proof of biological absence	DESCRIPTIVE	DESCRIPTIVE	VALID_WITH_QUALIFICATION; supports common inventory, not clinical replication
